nationalityLabel,count
France,18
États-Unis,14
Royaume-Uni,13
Suède,8
Empire allemand,6
Empire russe,6
Espagne,6
Union soviétique,5
royaume d'Italie,5
Allemagne,5
Royaume-Uni de Grande-Bretagne et d'Irlande,5
Pologne,5
Norvège,4
Irlande,3
royaume de Prusse,3
république de Weimar,3
Italie,3
Japon,3
Royaume du Danemark,3
Chine,2
Suisse,2
Chili,2
Afrique du Sud,2
Australie,2
Autriche,2
Tchécoslovaquie,2
Grèce,2
apatride,1
Ville libre de Dantzig,1
Égypte,1
Empire ottoman,1
Royaume d'Égypte,1
République arabe unie,1
Sultanat d'Égypte,1
République d'Égypte,1
Raj britannique,1
Danemark,1
Russie,1
Russie soviétique,1
Portugal,1
Roumanie,1
Pérou,1
République dominicaine,1
État libre d'Irlande,1
Nigeria,1
Maurice,1
Trinité-et-Tobago,1
Lituanie,1
république fédérative socialiste de Yougoslavie,1
Belgique,1
Bulgarie,1
Colombie,1
Troisième Reich,1
Mexique,1
Seconde République espagnole,1
Hongrie,1
Guatemala,1
Israël,1
Autriche-Hongrie,1
Palestine mandataire,1
Islande,1
Deuxième République de Pologne,1
Sainte-Lucie,1
Finlande,1
Canada,1
Turquie,1
Biélorussie,1
Tanzanie,1
